Threshold: -3.00 ,Senstivity: 0.97 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: -0.12 ,roc-auc scores: 0.66 ,cohen scores: -0.03 
Threshold: -0.90 ,Senstivity: 0.89 ,Specificity: 0.30 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.66 ,cohen scores: 0.19 
Threshold: -0.80 ,Senstivity: 0.86 ,Specificity: 0.38 ,Accuracy: 0.61 ,mcc scores: 0.27 ,roc-auc scores: 0.66 ,cohen scores: 0.24 
Threshold: -0.70 ,Senstivity: 0.84 ,Specificity: 0.40 ,Accuracy: 0.61 ,mcc scores: 0.26 ,roc-auc scores: 0.66 ,cohen scores: 0.23 
Threshold: -0.60 ,Senstivity: 0.81 ,Specificity: 0.47 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.66 ,cohen scores: 0.28 
Threshold: -0.50 ,Senstivity: 0.78 ,Specificity: 0.50 ,Accuracy: 0.64 ,mcc scores: 0.29 ,roc-auc scores: 0.66 ,cohen scores: 0.28 
Threshold: -0.40 ,Senstivity: 0.76 ,Specificity: 0.50 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.66 ,cohen scores: 0.25 
Threshold: -0.30 ,Senstivity: 0.76 ,Specificity: 0.50 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.66 ,cohen scores: 0.25 
Threshold: -0.20 ,Senstivity: 0.76 ,Specificity: 0.65 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.66 ,cohen scores: 0.40 
Threshold: -0.10 ,Senstivity: 0.76 ,Specificity: 0.65 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.66 ,cohen scores: 0.40 
Threshold: 0.00 ,Senstivity: 0.76 ,Specificity: 0.65 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.66 ,cohen scores: 0.40 
Threshold: 0.10 ,Senstivity: 0.73 ,Specificity: 0.65 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.66 ,cohen scores: 0.38 
Threshold: 0.20 ,Senstivity: 0.70 ,Specificity: 0.65 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.66 ,cohen scores: 0.35 
Threshold: 0.30 ,Senstivity: 0.62 ,Specificity: 0.68 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.66 ,cohen scores: 0.30 
Threshold: 0.40 ,Senstivity: 0.59 ,Specificity: 0.72 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.66 ,cohen scores: 0.32 
Threshold: 0.50 ,Senstivity: 0.59 ,Specificity: 0.75 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.66 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.51 ,Specificity: 0.75 ,Accuracy: 0.64 ,mcc scores: 0.27 ,roc-auc scores: 0.66 ,cohen scores: 0.27 
Threshold: 0.70 ,Senstivity: 0.51 ,Specificity: 0.75 ,Accuracy: 0.64 ,mcc scores: 0.27 ,roc-auc scores: 0.66 ,cohen scores: 0.27 
Threshold: 0.80 ,Senstivity: 0.49 ,Specificity: 0.75 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.66 ,cohen scores: 0.24 
Threshold: 0.90 ,Senstivity: 0.38 ,Specificity: 0.78 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.66 ,cohen scores: 0.16 
Threshold: 1.00 ,Senstivity: 0.30 ,Specificity: 0.80 ,Accuracy: 0.56 ,mcc scores: 0.11 ,roc-auc scores: 0.66 ,cohen scores: 0.10 
Threshold: 1.10 ,Senstivity: 0.22 ,Specificity: 0.82 ,Accuracy: 0.53 ,mcc scores: 0.05 ,roc-auc scores: 0.66 ,cohen scores: 0.04 
Threshold: 1.20 ,Senstivity: 0.14 ,Specificity: 0.82 ,Accuracy: 0.49 ,mcc scores: -0.05 ,roc-auc scores: 0.66 ,cohen scores: -0.04 
Threshold: 1.30 ,Senstivity: 0.11 ,Specificity: 0.88 ,Accuracy: 0.51 ,mcc scores: -0.03 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 1.40 ,Senstivity: 0.05 ,Specificity: 0.93 ,Accuracy: 0.51 ,mcc scores: -0.04 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 1.50 ,Senstivity: 0.05 ,Specificity: 0.93 ,Accuracy: 0.51 ,mcc scores: -0.04 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 1.60 ,Senstivity: 0.05 ,Specificity: 0.93 ,Accuracy: 0.51 ,mcc scores: -0.04 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 1.70 ,Senstivity: 0.05 ,Specificity: 0.93 ,Accuracy: 0.51 ,mcc scores: -0.04 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 1.80 ,Senstivity: 0.05 ,Specificity: 0.95 ,Accuracy: 0.52 ,mcc scores: 0.01 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.05 ,Specificity: 0.95 ,Accuracy: 0.52 ,mcc scores: 0.01 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.05 ,Specificity: 0.95 ,Accuracy: 0.52 ,mcc scores: 0.01 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.05 ,Specificity: 0.95 ,Accuracy: 0.52 ,mcc scores: 0.01 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.03 ,Specificity: 0.95 ,Accuracy: 0.51 ,mcc scores: -0.06 ,roc-auc scores: 0.66 ,cohen scores: -0.02 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 0.95 ,Accuracy: 0.49 ,mcc scores: -0.16 ,roc-auc scores: 0.66 ,cohen scores: -0.05 
